competitor_price,demand,inventory,rating,season,optimal_price
22.6,0.9123364251223485,79,4.460795193182895,0.9100153115993348,24.463760641553016
57.25,0.5215208174332074,427,4.740766083206084,0.9373012081705201,57.49641335961022
47.82,0.7402311712256294,420,3.4637669733837404,1.02554895379118,50.117570921601924
54.23,0.9966070189296505,481,3.0375535160914087,1.2877371779168802,59.61619972731099
54.23,0.3940471178838762,210,3.5226229142850154,0.7280960458357666,53.080835040568516
17.93,0.45643167515296146,456,3.0401579530118266,0.7897630694973388,17.77376398709852
52.15,0.4372603719484009,210,4.744685070629237,0.9223586431607224,51.49562567942182
53.74,0.9022534099313382,278,3.7528150034662513,0.5388004207030828,58.06341964994202
51.77,0.9289895611953938,415,4.494131703456421,0.543958804401849,56.21175791661712
57.25,0.5862785873973733,308,3.4047012861032244,1.294763112353362,58.23788982569993
54.23,0.6917514521474627,47,4.419954141466379,0.9614983390353044,56.30973624999138
20.66,0.8449496003979615,26,3.8966922370335655,0.5093881100733834,22.085331748844375
37.59,0.8669971107016989,29,3.520004393799487,1.4814988786932815,40.349084278255376
35.02,0.7226668025881455,361,3.237445307338822,0.7110580803425092,36.57955828532737
53.74,0.5065090121369327,465,4.002317704095674,1.372332341221444,53.80995886244776
17.93,0.785056933218266,79,3.42378374667189,0.5997494122604738,18.9522141625207
23.88,0.9426589187344929,151,4.744563713881178,1.1011650359558953,25.99413899587594
57.25,0.38191411939389797,51,3.4195623011111493,0.6638738889818891,55.89791666706013
53.74,0.8729057962868463,26,4.343395594622621,0.8763924421141981,57.747991498491025
51.77,0.7901267371008698,146,3.92291037116895,1.0122438120342865,54.77397223594241
54.23,0.3146408527464073,388,3.69021691237295,1.4827528700880093,52.21959468888753
52.29,0.8785895398679124,469,3.590574385846824,1.1986457118356963,56.24928940793863
50.1,0.3607271787542893,170,4.9399310788675965,1.3041630413023317,48.704486331117984
54.23,0.3231302456027887,330,4.9629572149992125,1.0943424784145133,52.311670643807844
33.34,0.6569041508720294,63,4.766443885791639,1.4496913403348026,34.38623687801469
51.77,0.7369295077909782,41,4.979307284464349,1.0635466276965744,54.22316812366779
22.65,0.710411188939878,382,4.211178601671756,1.0421876699686636,23.603162685897647
